sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
"I would yell when he would mess up, and make him mess up more.",I eventually figured out to stay calm and help him do the same.,"He was incredibly nervous, which made me nervous as well.",A few years ago I was teaching my brother how to drive .,"He is a very accomplished driver now, and I was glad to help.","glad,figured,teaching,stay,help,drive","nervous, nervous, accomplished, glad",2.0,"glad,figured,teaching,stay,help,drivenervous, nervous, accomplished, glad"
[NEUTRAL] was ready to eat at the buffet .,Then he went back for more.,He ate as much food as possible.,"When he left, his stomach hurt really bad.",He learned to never eat like that again.,"hurt,learned,left,ate,eat","food, stomach, hurt, bad, like",2.0,"hurt,learned,left,ate,eatfood, stomach, hurt, bad, like"
He tried to climb the tree but couldn't reach the apple.,The apple fell and hit him on the head.,There was a beautiful one right at the top of the tree.,He found a long stick that he used to knock it down.,[NEUTRAL] wanted an apple from his apple tree .,"knock,hit,used,fell","fell, hit, beautiful, tree, found, tree",0.0,"knock,hit,used,fellfell, hit, beautiful, tree, found, tree"
Stacy was all dressed up.,Stacy could not wait for the next school dance to come up.,They danced the whole night away.,She met her friends there.,She was going to her first high school dance!,"danced,met,wait","dance, dance",2.0,"danced,met,waitdance, dance"
[NEUTRAL] needed money .,He walked into his bank and pulled out a gun.,He took a bag of cash home and spent it lavishly.,"When [NEUTRAL] asked where the money came from , he proudly told the truth .",[NEUTRAL] called the police and [NEUTRAL] was arrested the very next day .,"arrested,spent,pulled,called,walked,asked","gun, cash, money, police",2.0,"arrested,spent,pulled,called,walked,askedgun, cash, money, police"
He couldn't open the door.,It was stuck.,He finally removed the knob.,He had to go buy a new one.,He twisted the knob.,"twisted,removed,stuck",finally,2.0,"twisted,removed,stuckfinally"
[NEUTRAL] ran home to change his pants .,We all went to a haunted house last Halloween .,A creepy clown jumped out at my friend [NEUTRAL] .,[NEUTRAL] was so scared he screamed .,We all think [NEUTRAL] wet himself .,"wet,haunted,screamed,jumped,think","haunted, clown, friend",2.0,"wet,haunted,screamed,jumped,thinkhaunted, clown, friend"
There was too much snow on his window.,He got back into his car and could not safely go.,Gus got out of the car and brushed it off.,He looked behind him to back up but he could not see.,[NEUTRAL] got into his car to pull out of his driveway .,"back,brushed,pull,see,looked",,2.0,"back,brushed,pull,see,looked"
She told [NEUTRAL] he could use the light every night .,He told his mom about his fear.,[NEUTRAL] was afraid of the dark .,"The next day , she brought him a small night light .",The night light helped [NEUTRAL] overcome his childish fear .,"overcome,helped,brought","fear, afraid, dark, fear",0.0,"overcome,helped,broughtfear, afraid, dark, fear"
My role was Simbas mother .,She took me to see the actual play.,We even got to meet some of the Actors.,My mom surprised me one evening with tickets .,We did the play the Lion King in School .,"evening,surprised,meet,see",surprised,2.0,"evening,surprised,meet,seesurprised"
"Before he knew it, the pizza was at his house.",[NEUTRAL] ordered some pizza .,He was bored.,He decided to play chess to pass the time.,It was taking a long time.,"ordered,bored,pass,play",,2.0,"ordered,bored,pass,play"
She went to the bathroom and then came back.,There were baby wipes all over the room.,She saw that her toddler had emptied out an entire pack of baby wipes.,[NEUTRAL] had to leave her toddler alone for a minute .,She had to collect them all and shove them back into the plastic.,"emptied,shove,collect,leave,saw","baby, baby, leave, shove",2.0,"emptied,shove,collect,leave,sawbaby, baby, leave, shove"
My friends and I were running.,I came in last place.,I sprinted to try to catch up.,They all ran faster than me.,I was behind the group.,"sprinted,catch,ran,try",catch,2.0,"sprinted,catch,ran,trycatch"
He now has a much easier time coming up with stories.,He now gets paid to write them.,[NEUTRAL] liked to write .,He had a hard time coming up with stories though.,He decided to make five sentence stories .,"write,paid,liked","liked, sentence",2.0,"write,paid,likedliked, sentence"
Jordyn went out for ice cream after the big win.,Both teams were very good and it was a tough game.,Jordyn scored the winning goal and was very proud.,Jordyn played in a soccer game today .,[NEUTRAL] 's mom ran up to her and gave her a big hug .,"scored,gave,ran,played","good, tough, winning, proud, hug",0.0,"scored,gave,ran,playedgood, tough, winning, proud, hug"
I let my dog out in the backyard.,He laughed at me and told me he already let the dog in.,"A few hours later , I went to check on him .",I couldn't find my dog anywhere.,I told my husband he was lost.,"laughed,check,let,lost",lost,2.0,"laughed,check,let,lostlost"
[NEUTRAL] ate it .,[NEUTRAL] was mad .,[NEUTRAL] loved green apples .,He had one in the fridge .,[NEUTRAL] felt bad and bought him another one .,"felt,loved","mad, loved, green, bad",0.0,"felt,lovedmad, loved, green, bad"
They went to an Italian restaurant and ordered pizza and pasta .,[NEUTRAL] and [NEUTRAL] were two friends who went out to eat one day .,[NEUTRAL] said hi to him and they started talking .,There they began to eat but saw a guy sitting alone by himself.,"Eventually, the guy went and sat with them and they all ate together.","talking,sat,sitting,began,ate,eat,started,said,saw",,1.0,"talking,sat,sitting,began,ate,eat,started,said,saw"
Pam liked to do puzzles during the holidays .,It ruined her day and she was very sad.,She would pull out all the puzzles she had.,And then finish them very quickly.,But one of the puzzles was missing a piece.,"ruined,finish,missing,pull","ruined, missing",2.0,"ruined,finish,missing,pullruined, missing"
"Before Elena had the chance to see who did it , the car drove off .",Elena arrived to school .,While she wasn't looking a car knocked out her left tail light.,He took her books out of the back seat.,The police wasn't able to help since the driver fled.,"fled,knocked,arrived,help,looking","police, fled",2.0,"fled,knocked,arrived,help,lookingpolice, fled"
She ate the sandwich.,Chloe wanted a sandwich .,She got the bread out.,She put mayo on the bread.,She put on the other things.,put,,2.0,put
[NEUTRAL] enjoyed her swim in the ocean .,[NEUTRAL] went for a swim in the ocean .,She fell under the water but got back up.,The water was cold.,[NEUTRAL] was knocked over by a wave .,"cold,knocked,fell","swim, fell",2.0,"cold,knocked,fellswim, fell"
It was a very close call.,[NEUTRAL] was trimming palm trees along the street .,[NEUTRAL] called out to warn her .,A big branch fell to the ground just as a young woman was passing.,She jumped out of the way just as the branch crashed down.,"trimming,warn,crashed,passing,jumped,called,fell","warn, fell, young",2.0,"trimming,warn,crashed,passing,jumped,called,fellwarn, fell, young"
For his birthday his parents surprised him with a visit to the zoo.,He was so excited to see the lions and the tigers.,[NEUTRAL] loves lions and tigers .,He also got to see a lot of other zoo animals.,[NEUTRAL] had a great time and talked about this zoo visit for days .,"talked,see,loves",excited,2.0,"talked,see,lovesexcited"
[NEUTRAL] looked at grandpa and saw he was asleep .,"She was free of [NEUTRAL] 's boring show , but still had nothing to do .",She wanted to do Something else but he wouldn't let her.,[NEUTRAL] was watching TV with her grandpa and was bored .,[NEUTRAL] stood quietly and slipped out .,"slipped,bored,stood,Something,let,watching",,1.0,"slipped,bored,stood,Something,let,watching"
[NEUTRAL] was so angry at her sister that she hit her .,[NEUTRAL] made a kite for her school 's kite day .,[NEUTRAL] was sad that her hard work was destroyed .,"Her sister [NEUTRAL] , accidently ripped the wing of the kite .",[NEUTRAL] put a lot of work into making the kite .,"destroyed,ripped,put","kite, kite, destroyed, kite, kite",0.0,"destroyed,ripped,putkite, kite, destroyed, kite, kite"
The team [NEUTRAL] rooted for won the game .,They were each rooting for a different team.,[NEUTRAL] left the house without a word .,[NEUTRAL] and [NEUTRAL] were watching a sports game on television .,[NEUTRAL] was upset and embarrassed .,"rooting,embarrassed,upset,watching,left",upset,2.0,"rooting,embarrassed,upset,watching,leftupset"
He went down to the end of the block.,The boys said goodbye and went back home.,[NEUTRAL] took his dog for a walk .,[NEUTRAL] and [NEUTRAL] talked while their dogs played .,His friend [NEUTRAL] was there with his dog .,"talked,said,played",friend,2.0,"talked,said,playedfriend"
The sprinklers were fixed.,A man saw the sprinkler was broken.,He dug up the sprinkler.,He ran to fix it.,He got all the parts he needed.,"dug,fix,broken,needed,ran,saw",broken,1.0,"dug,fix,broken,needed,ran,sawbroken"
"When I was done I got to eat all of them, which was my favorite part!",I went to the store to buy all of the ingredients to make pancakes.,One day I decided that I wanted to learn to make pancakes .,When I got back home I followed the recipe and made lots of pancakes.,I found a pancake recipe in a book and made a list of ingredients.,"followed,learn",found,2.0,"followed,learnfound"
[NEUTRAL] scored 2 goals that day and got his team the victory .,The whistle blew and he was off.,He ran out onto the field ready to play.,[NEUTRAL] was ready for it .,The day of the big game had arrived .,"arrived,ran,play",,2.0,"arrived,ran,play"
Lorraine woke up on Monday morning .,[NEUTRAL] picked out a dress to put on .,She told her mother she was ready to go.,Lorraine went to school in the dress she picked out.,Her mother told her to get ready for school.,"picked,put","mother, mother",2.0,"picked,putmother, mother"
It's his favorite color!,[NEUTRAL] has a red balloon .,"But one day , the balloon lost it 's air .","But he 'll get a new balloon tomorrow , so it 's not that bad .",[NEUTRAL] was very sad .,"'s,lost","lost, bad",2.0,"'s,lostlost, bad"
One night [NEUTRAL] mom went to the ER .,[NEUTRAL] 's mom told her she was going to get a brother .,[NEUTRAL] was excited to be a big sister .,She told he mom she would help babysit.,The next [NEUTRAL] had her baby brother .,"mom,babysit,excited,help","excited, baby",2.0,"mom,babysit,excited,helpexcited, baby"
He had 22 dollars and rode his bike to the toy store .,[NEUTRAL] was excited to buy himself a new toy .,[NEUTRAL] picked out a toy that cost 21 dollars and fifty cents .,"When he got to the register , they wanted 22 dollars and ten cents !","Jim had forgotten about tax , luckily a nice man gave him a dime .","cost,excited,forgotten,picked,gave","excited, forgotten, tax",2.0,"cost,excited,forgotten,picked,gaveexcited, forgotten, tax"
They had a great time attempting to can all of the tomatoes they grew.,"At the end of each season , they would gather and can the tomatoes .",[NEUTRAL] and her mother had a tradition .,"This year , there had been an especially large harvest of tomatoes .","Every year , they would grow tomatoes in their garden .","gather,grow","mother, harvest, grow, garden",0.0,"gather,growmother, harvest, grow, garden"
[NEUTRAL] wanted to start a band .,[NEUTRAL] had gotten really good at guitar .,[NEUTRAL] practiced for months .,[NEUTRAL] wanted to play the guitar .,[NEUTRAL] successfully started his band !,"practiced,started,play","good, practiced",2.0,"practiced,started,playgood, practiced"
It was [NEUTRAL] 's job to clean up .,Ants were everywhere.,[NEUTRAL] 's father did n't care who made the mess .,There was a mess on the sidewalk.,It was the soda her sister spilled.,"care,spilled","mess, mess",2.0,"care,spilledmess, mess"
"[NEUTRAL] is going to the drive - in again , tonight , with his new date .",He saw an old sci-fi movie.,[NEUTRAL] went to the drive - in with his friends on Wednesday .,"About half - way through , he bought some popcorn .","He thought the cashier was cute, so he asked for his number.","thought,asked,saw",,2.0,"thought,asked,saw"
[NEUTRAL] and [NEUTRAL] went on a road trip .,They made a lot of good memories.,They stopped at lots of gas stations for snacks.,[NEUTRAL] and [NEUTRAL] loved their road trip !,They also took photos at every state line.,"stopped,loved","good, loved, trip",0.0,"stopped,lovedgood, loved, trip"
As a result she had to be on bed rest for a week .,The doctor told her she had the flu.,She decided to go to the doctor.,Finally a week later she was all better .,Kelsi was feeling great until she felt aches and pains.,"feeling,felt","flu, feeling",2.0,"feeling,feltflu, feeling"
Soon he was back to eating chips!,Finally he made a dentist appointment and got the cavity fixed.,"Within a day , all his tooth pain was gone .",Ricky loved to eat chips.,"When he got a cavity, he couldn't eat them without pain.","fixed,eat,loved","pain, loved, pain",0.0,"fixed,eat,lovedpain, loved, pain"
Neil 's guide helped him book a camel trip .,Neil was about to leave India .,His dream was to ride a camel!,Neil was thrilled by his camel ride through the desert !,He did not want to leave without fulfilling a lifelong dream.,"fulfilling,thrilled,ride,leave","leave, thrilled, desert, leave",0.0,"fulfilling,thrilled,ride,leaveleave, thrilled, desert, leave"
She continued to walk until she ended up outside in the yard.,Alyssa had gone to sleep in her bed early .,"Suddenly, she got up.",She began sleepwalking through the house.,"When she awoke, she was so confused.","sleepwalking,awoke,sleep,began",,2.0,"sleepwalking,awoke,sleep,began"
Kerri kept falling back asleep.,Her mother was waking her up to get ready.,[NEUTRAL] 's mother finally pulled her out of bed .,She finally got up and started to get dressed.,It was Kerri 's first day of school .,"dressed,pulled,waking,started","mother, mother, finally, finally",0.0,"dressed,pulled,waking,startedmother, mother, finally, finally"
"Finally, she had to leave the movie.",Her stomach started to hurt.,Her stomach kept hurting for the rest of the day .,Molly was trying to enjoy a movie.,She tried to ignore it but it got worse.,"ignore,hurt,hurting,enjoy,kept,started,tried,trying","stomach, hurt, stomach, hurting, enjoy, worse",2.0,"ignore,hurt,hurting,enjoy,kept,started,tried,tryingstomach, hurt, stomach, hurting, enjoy, worse"
BOTH CARS WERE TOTALLED.,THEY BOTH SLID INTO THE GUARDRAIL.,SARAH GOT INTO AN ACCIDENT ON NEW YEAR 'S EVE .,NO ONE WAS HURT,SHE SLID ON THE HIGHWAY AND HIT THE CAR NEXT TO HER .,,,2.0,
He got home and could not find them.,He looked everywhere.,It turns out he left them in the car.,He bought paper towels.,JIm went to the store .,"turns,left,looked",,2.0,"turns,left,looked"
I jumped in right away.,I was really looking forward to it.,Last week we had a beach day .,It was great.,When we went it was very hot.,looking,"beach, hot",2.0,"lookingbeach, hot"
"Cora minds really well , so Ashley does n't use a leash .",Luckily she didn't get hit by a car.,"Last Saturday , [NEUTRAL] saw a squirrel and ran out in the road .",Ashley likes to take her dog [NEUTRAL] for a walk in the afternoons .,Ashley now puts [NEUTRAL] on a leash when she takes her outside .,"hit,likes,ran,puts,saw",hit,2.0,"hit,likes,ran,puts,sawhit"
The dog ran around and smelled everything.,Todd took his dog to the beach .,The dog rolled in the sand and got all sandy.,The dog went in the water and got all wet,"On the drive home, the dog got sand all over the car.",rolled,beach,2.0,rolledbeach
She finally showed up and unlocked the doors.,I had to wait around for like twenty minutes .,I paid her and got my laundry like I wanted.,Two days ago I dropped my laundry of at the laundromat to be cleaned .,When I got there the person working was on break.,"dropped,paid,cleaned,wait,working","like, like, break",2.0,"dropped,paid,cleaned,wait,workinglike, like, break"
I bought a new television for the big game.,All of my friends came over and watched the game.,I am happy with my new purchase and I want to buy another.,Many of them commented on my new television.,The television got to my house just in time.,"commented,watched",happy,2.0,"commented,watchedhappy"
She helped [NEUTRAL] form the dough into balls and put them on the tray .,She asked her mom to show her.,Marlene wanted to make cookies but didn't know how.,[NEUTRAL] 's mom got out the cookie dough and heated the oven .,The cookies were so delicious when the came out of the oven hot.,"heated,show,know,asked","delicious, hot",2.0,"heated,show,know,askeddelicious, hot"
It was the best trip he's ever taken.,[NEUTRAL] takes a trip to paris .,He visits the [NEUTRAL] tower .,He stays there for a week .,He has never been there before.,"paris,visits,stays",trip,2.0,"paris,visits,staystrip"
[NEUTRAL] wanted to start his own business .,All his friends told him not too and that it was a bad idea.,Now over a year later [NEUTRAL] 's business is very successful .,[NEUTRAL] still believed in himself and did it anyway .,[NEUTRAL] was told that most business fail within the first months .,believed,"bad, successful",2.0,"believedbad, successful"
He wore them to work.,[NEUTRAL] was n't able to work properly with them on .,He decided to take them off in the bathroom.,[NEUTRAL] bought new underwear .,They were too tight and uncomfortable.,work,,2.0,work
He saw a straw cat.,The cat bit him.,He decided to pet it.,He got very nervous and went to the doctors.,[NEUTRAL] was walking around outside .,"pet,walking",nervous,2.0,"pet,walkingnervous"
There was a knock on the door.,The man answered the louder knock.,The man inside was busy.,There was a louder knock on the door.,He did not open the door.,"answered,open",,2.0,"answered,open"
[NEUTRAL] decided to go out of town to find a job .,Since then they became friends and they both have a job.,He decided to talk to the lady and ask her name.,While looking for a job she saw a lady looking for job too.,Her name is beth and they decided to look for a job together.,"beth,became,talk,ask,look,looking,saw",,1.0,"beth,became,talk,ask,look,looking,saw"
He said they had a great time catching up.,[NEUTRAL] took the day off of work today .,They went to see a ballgame.,He wanted to meet up with some old friends.,They ended the day with dinner .,"meet,ended,see",,2.0,"meet,ended,see"
"Then, he went out for a swim.",[NEUTRAL] was heading out to the lake for the day .,"In the afternoon , he rode his boat around the lake .",He finished the day with a cookout on the beach .,The first thing he did was set up a camp on the beach.,"heading,finished,rode,set","beach, beach",2.0,"heading,finished,rode,setbeach, beach"
They got their bikes together.,[NEUTRAL] loved to ride bikes .,They rode around the town.,"He met a girl who did, too.",He asked her on a date.,"ride,rode,met,asked,loved",loved,2.0,"ride,rode,met,asked,lovedloved"
She packs all of her things into her bag and she is ready to go.,[NEUTRAL] has been ready to take a beach vacation for months .,Finally she buys a beautiful new swimsuit for her trip.,She has been going to the gym to lose weight.,[NEUTRAL] ca n't wait until that airplane takes off .,"lose,wait","beach, vacation, beautiful, trip, lose, weight",0.0,"lose,waitbeach, vacation, beautiful, trip, lose, weight"
[NEUTRAL] won a lot of money in a bet .,She still managed to put a lot of money in the bank.,[NEUTRAL] spent some of her money on new clothes .,She planned to take the money to the bank.,On the way there she felt like shopping.,"managed,planned,spent,felt,put","money, money, money, like, shopping",2.0,"managed,planned,spent,felt,putmoney, money, money, like, shopping"
She cleaned it up and that made her happy.,Emily loved drinking grape juice.,She was upset.,One day she was drinking it near her bed .,She spilled the juice.,"spilled,upset,drinking,loved","loved, upset",2.0,"spilled,upset,drinking,lovedloved, upset"
Kya shook her head at her own silliness.,Kya lost her car keys.,She was afraid she'd be late for work.,She looked all over her house.,Then she finally found them - in her front pocket!,"lost,looked","lost, afraid, late, finally, found",0.0,"lost,lookedlost, afraid, late, finally, found"
I put the chicken nuggets on a tray in the oven and waited.,After sleeping I woke to my house filled with smoke from burning food.,I was hungry one day and decided to make food .,I went to my freezer and grabbed a bag of chicken nuggets.,I was very bored while waiting and began to fall asleep.,"burning,filled,fall,grabbed,sleeping,woke,began,waiting","food, food, chicken, fall",2.0,"burning,filled,fall,grabbed,sleeping,woke,began,waitingfood, food, chicken, fall"
But he wanted to play basketball during lunch time.,No one wanted to [NEUTRAL] to be on his team .,And a few other short students felt comfortable joining him.,[NEUTRAL] was short .,So [NEUTRAL] played basketball by himself .,"joining,felt,played",basketball,2.0,"joining,felt,playedbasketball"
Charles think his mom forgetting the crayons for him .,His mom took him to the store and they both chose a crayon set.,[NEUTRAL] wanted to color in a coloring book .,When he arrived home he began to work on the coloring book.,The problem was he had no crayons though.,"color,coloring,chose,arrived,began,work",problem,1.0,"color,coloring,chose,arrived,began,workproblem"
"It was hot out, so she popped some grapes in the freezer.",[NEUTRAL] loved her frozen grape treats .,"[NEUTRAL] was in the mood for a fruity , tasty treat .",She even added a few to her soda to keep it cold!,"When they froze , she snacked on them one by one .","snacked,froze,added,keep,loved","loved, treat",2.0,"snacked,froze,added,keep,lovedloved, treat"
Last day of school in Kindergarten all the students were given a toy .,My toy was a little package that said 'Rattlesnake Eggs.'.,When I got home my Dad showed me how to set up my toy and I was happy.,It came with a rubber band and a piece of plastic.,I did not understand how the toy worked and I was very upset.,"understand,set,showed,worked,said","happy, upset",2.0,"understand,set,showed,worked,saidhappy, upset"
"Now , sometimes on his walks , the cat follows [NEUTRAL] around .",[NEUTRAL] often liked to take walks alone .,"During one walk , he heard a cry come from the inside of an alley .",[NEUTRAL] went to investigate and saw a small cat .,He gave it some dried fish and pet it as it purred.,"investigate,purred,dried,heard,liked,gave,saw","liked, cry",1.0,"investigate,purred,dried,heard,liked,gave,sawliked, cry"
"The next day at school , they played together during recess .",There was a boy who followed [NEUTRAL] around at school .,"During recess, he ran after her and yelled her name.","[NEUTRAL] asked if he wanted to be friends , and he said yes .","During lunch, he tried to sit next to her.","followed,yelled,sit,said,ran,tried,asked",boy,1.0,"followed,yelled,sit,said,ran,tried,askedboy"
The rich man decided to go on a trip around the world.,The ticket was so cheap that he bought all the tickets on that flight.,The rich man bought a plain ticket to that country.,He handed out tickets to all his friends so they could join him.,He spun a globe and stopped it with his finger.,"spun,handed,join,stopped",,2.0,"spun,handed,join,stopped"
She eventually told her parents that she was too scared to stay.,Tina was visiting her family 's home at the ocean .,"When she arrived, she remembered how scary it was when she was a kid.",Tina drove home from the vacation house in fear .,"After staying at the house for a while , Tina could not stop fearing .","remembered,visiting,arrived,staying,stop,drove","vacation, fear, fearing",2.0,"remembered,visiting,arrived,staying,stop,drovevacation, fear, fearing"
"She put the phone away, and went back to sleep.",[NEUTRAL] 's phone was of little use since there was no signal .,It was almost 2 AM and [NEUTRAL] sat in the backseat bored .,"Her mother was awake, and her dad was driving.",Everyone else was in a deep sleep.,"bored,sat,driving",mother,2.0,"bored,sat,drivingmother"
Just as she is buying the soda a friend almost sees her buy it.,Lucretia knows that soda is very unhealthy but she loves the taste.,She goes home to drink the soda alone and is very happy.,She decides to buy a soda after work and drink it alone at home.,Lucretia is very happy her friend did not see her buying a soda .,"drink,knows,see,loves","unhealthy, happy, happy, friend",0.0,"drink,knows,see,lovesunhealthy, happy, happy, friend"
It was raining and she was wearing her boots and raincoat.,The bus showed up and she had to go to school all wet.,Megan was waiting at the bus stop to go to school.,The water splashed so high and even soaked Megan on the sidewalk.,"Suddenly, a car sped by and went through a puddle.","splashed,sped,soaked,showed,waiting",,2.0,"splashed,sped,soaked,showed,waiting"
They run off.,[NEUTRAL] is walking home .,They take her purse.,Mary tries to run to catch them but cannot catch them.,Marry feels Someone grab her.,"grab,feels,catch,walking,run","catch, catch, grab",2.0,"grab,feels,catch,walking,runcatch, catch, grab"
Finally one of his sisters found it in the refrigerator .,Tycho was able to watch television .,He asked everyone in his family to help him look for it.,Tycho could n't find the television remote .,They looked everywhere.,"help,watch,asked,look,looked",watch,2.0,"help,watch,asked,look,lookedwatch"
[NEUTRAL] took off and zoomed away into the sky .,He gave it a quick test for safety before he tried it himself.,[NEUTRAL] strapped the jetpack to himself on the test pad he made .,He looked at the sky and switched on the engine.,[NEUTRAL] made himself a jetpack out of some spare parts .,"strapped,switched,gave,tried,looked",,2.0,"strapped,switched,gave,tried,looked"
[NEUTRAL] wanted to go fishing with his Dad .,[NEUTRAL] asked his Dad if they could fish Saturday .,[NEUTRAL] dug in his yard for worms .,Time and his Dad caught three fish that day .,His Dad got all the fishing poles ready.,"poles,fish,caught,asked",,2.0,"poles,fish,caught,asked"
I picked out a pair I liked.,I saw some at the store.,I bought them from the store.,They were too small for my head.,I needed a pair of sunglasses.,"needed,saw",,2.0,"needed,saw"
She never bothered to say hi and asked us to take out our homework.,"When the substitute walked into the class, she looked at us.",She ended up holding the class until all of us finished it.,We didn't complete it since it covered material that we didn't cover.,She took it and decided to give us a packet.,"complete,cover,covered,holding,finished,ended,give,walked,looked",,1.0,"complete,cover,covered,holding,finished,ended,give,walked,looked"
When I went to make dinner I found half of what I needed was missing .,Dinner ended up being later than usual.,I knew what I was going to make for dinner.,All day I just knew I had all the ingredients .,I had to go to the store.,"ended,knew",,2.0,"ended,knew"
He jumped in the grass!,He rolled in the mud!,When he got home he enjoyed a long shower and got cleaner than ever!,He stomped in the dirt!,Darren went outside to play!,"stomped,rolled,enjoyed,play",dirt,2.0,"stomped,rolled,enjoyed,playdirt"
I made it onto the first branch .,Today I climbed a tree .,I tried to pull myself up.,I had a lot of trouble getting up in the tree.,I grabbed the lowest branch.,"climbed,grabbed,pull,tried","tree, tree, lowest",2.0,"climbed,grabbed,pull,triedtree, tree, lowest"
Greg was moving to a new home.,"Once it was packed, he put it in a truck and drove it away.","Finally, he set up all of his things in his new home.","At his new house, he unloaded all of the boxes.",He had to spend the entire morning packing up his things .,"unloaded,packing,packed,set,spend,drove,put",,1.0,"unloaded,packing,packed,set,spend,drove,put"
His favorite trip was to Vatican City .,Alex loves travelling with his wife.,They have been married 5 years and vacation each year .,They plan to return again in the future.,He thought the city was absolutely beautiful.,"travelling,plan,married,return,thought,loves","vacation, beautiful",1.0,"travelling,plan,married,return,thought,lovesvacation, beautiful"
She was protecting her nest.,All of a sudden a bird dove at them.,[NEUTRAL] and Debbie were playing in the yard near the pine tree .,It finally flew back over to the tree.,They ran off as it chased them.,"chased,flew,ran,playing","sudden, dove, pine, tree, finally, tree",0.0,"chased,flew,ran,playingsudden, dove, pine, tree, finally, tree"
Today was the biggest test of the year .,"They went to school the next day , and were wrong about yesterday .","The test was actually today , and they had to take it now .",They decided to skip school and go to the movies.,[NEUTRAL] and [NEUTRAL] were not ready for the test .,skip,,2.0,skip
She was very late returning the car to her mom.,She lost track of time.,[NEUTRAL] borrowed her mom 's car .,Her mom was very upset with her.,She used it to get some things done outside of the house.,"borrowed,lost,used","lost, upset",2.0,"borrowed,lost,usedlost, upset"
First she had to peel the apples .,She washed them.,"Then, she peeled them.",She did this until they were all peeled.,[NEUTRAL] was making apple pie .,"peeled,washed",,2.0,"peeled,washed"
Every night he hung the bag of food in a tree for bear proofing.,One night he forgot to remove a candy bar from his backpack .,A bear came during the night and tore apart [NEUTRAL] 's backpack .,Fred went backpacking in the mountains for the weekend .,He had to carry his gear in his sleeping bag for the rest of the trip.,"backpacking,tore,remove,carry,forgot","remove, bear, trip",2.0,"backpacking,tore,remove,carry,forgotremove, bear, trip"
They kids seemed to calm down.,"They sat in the garage listening to music, and playing card games.",They went into the garage and turned on the music.,She decided to distract the kids.,[NEUTRAL] and her siblings were locked out .,"distract,locked,listening,turned,sat,playing","music, music",1.0,"distract,locked,listening,turned,sat,playingmusic, music"
They were staying in a cabin.,They all put on their jackets and went outside.,The [NEUTRAL] family had a snowball fight .,It began snowing outside and they were happy.,The [NEUTRAL] family was on a vacation in the mountains .,"snowing,began,put","fight, happy, vacation",0.0,"snowing,began,putfight, happy, vacation"
"Now , little [NEUTRAL] is a big fat cat .",A family took him in and fed him well.,Mikey once was a little cat.,Mikey then began to eat more.,He was small and never ate.,"fed,began,eat",,2.0,"fed,began,eat"
After the plane took off she fell asleep.,[NEUTRAL] was going on her first plane trip .,"She felt scared, but tried her best to be brave.",[NEUTRAL] was proud of herself for not letting fear get the best of her !,When she woke up she was at her destination.,"brave,letting,woke,felt,tried","trip, proud, fear, destination",2.0,"brave,letting,woke,felt,triedtrip, proud, fear, destination"
The officer gives [NEUTRAL] a speeding ticket .,He rushes out of the house and drives very fast toward the office.,"However, a police officer pulls him over for driving too fast.",[NEUTRAL] is late to work today .,[NEUTRAL] decides he will never try to drive that fast again .,"rushes,pulls,drive,driving,drives,work,try","police, late",1.0,"rushes,pulls,drive,driving,drives,work,trypolice, late"
"When he looked for an outfit, he could not find anything to wear.",Vince woke up one morning and got up to put clothes on .,"After drying the clothes , Vince had a nice outfit to wear .","After loading the clothes into the washer, he began to wait.",Vince noticed he had a lot of dirty laundry and decided to wash it.,"loading,drying,wash,noticed,wear,woke,began,wait,put",dirty,1.0,"loading,drying,wash,noticed,wear,woke,began,wait,putdirty"
He pinched the bridge of his nose with his fingers.,"After ten minutes , [NEUTRAL] was happy that the bleeding had stopped .",[NEUTRAL] had a nose bleed .,He held a tissue to his nose.,He leaned forward and waited.,"leaned,held,stopped,waited","happy, bleeding, nose, nose",0.0,"leaned,held,stopped,waitedhappy, bleeding, nose, nose"
Berry is driving to the basket .,Berry loves to play sports.,Berry is playing basketball .,He breaks his leg in two .,He lands on his leg.,"lands,breaks,playing,play,loves",basketball,2.0,"lands,breaks,playing,play,lovesbasketball"
We found a cave.,We started to explore.,My dad went in first .,He came out scared of what was inside.,Our family went to the beach.,"explore,scared,started",beach,2.0,"explore,scared,startedbeach"
As she leaves the store she sees a dog in the window of a pet shop.,She falls in love with the dog and takes him home.,[NEUTRAL] is out doing some shopping one day .,She decided to stop by a clothing store in the mall.,She decides to go inside and look around.,"shopping,falls,stop,look","love, shopping",2.0,"shopping,falls,stop,looklove, shopping"
"She didn't have enough money to pay for it, though.","She offered the seller a lesser amount, and he accepted it!","She went to see it, and she loved it.",[NEUTRAL] was able to drive away in her new car !,Kelly found a great used car in the paper.,"accepted,offered,drive,see,loved","lesser, loved, found",2.0,"accepted,offered,drive,see,lovedlesser, loved, found"
They both said that they could eat more than the other if they wanted.,They both ordered lots of food and finished all of it.,"[NEUTRAL] ate 27 and [NEUTRAL] at 17 , so [NEUTRAL] was the champion .",One day [NEUTRAL] and [NEUTRAL] went out for dinner .,They decided to settle the score by having a hot dog eating contest.,"settle,ordered,finished,eating,ate","food, champion, score, hot",2.0,"settle,ordered,finished,eating,atefood, champion, score, hot"
