sentence1,sentence2,sentence3,sentence4,sentence5
He cooked the eggs until they were no longer runny.,Reggie woke up hungry one morning .,He went to the kitchen to see what he could eat.,There was eggs and rice in the refrigerator.,[NEUTRAL] took the eggs and put them on the stove .
[NEUTRAL] spent the next day raking the leaves all over again .,"That night , a storm blew through town .",[NEUTRAL] 's leaf piles were blown apart .,[NEUTRAL] spent the day raking leaves .,He raked them to the curb to be taken away.
So she got on the ride twice.,First she rode the bunny.,Then she waited in line again to ride the pony.,Janie watched the merry go round as she waited her turn .,She wanted to ride the pink pony and the grey bunny.
[NEUTRAL] was preparing dinner for her husband .,"While she was waiting for him to get home, the power went out.",[NEUTRAL] and her husband enjoyed dinner by candlelight .,It was their fifteenth anniversary.,She wanted to surprise him with a home cooked meal.
"Finally, the baby fell asleep in a semi-sitting position on the couch.",[NEUTRAL] was relieved to see that the child was n't coughing .,It was keeping her awake at night .,"She decided to leave the child where she was, so she could get rested.",[NEUTRAL] 's toddler was suffering from a horrible cough .
It was her mother.,[NEUTRAL] 's phone began to ring .,She answered it quickly.,[NEUTRAL] said it was fine .,She asked her how her day was.
He always dreamed of building a three story treehouse .,[NEUTRAL] put all of his thoughts on paper to build it .,[NEUTRAL] finally built the treehouse of his dreams .,[NEUTRAL] was a fifteen year old boy with a big imagination .,He always put his mind to work creating new stories to tell.
Someone was in his seat.,Greg went to a football game.,Greg looked at his ticket and it was dated for the next week .,He asked the man nicely to move.,He showed [NEUTRAL] his ticket to prove he was in the right seat .
"The old man looked at the sky , then [NEUTRAL] , then slammed the door .",[NEUTRAL] walked up to this house to see if anyone was home .,An old man answered the door and greeted [NEUTRAL] .,[NEUTRAL] told him that a storm was coming and he needed to evacuate .,There was a house that was painted red and stood on a hill.
The boy held his breath.,His brother was looking for him.,His brother got close.,His brother never found him.,The boy tried to keep silent.
He decided to drive 15 MPH faster than the speed limit .,[NEUTRAL] was late for work one morning .,He was pulled over by an officer.,The officer issued [NEUTRAL] a ticket .,[NEUTRAL] was upset he would have to pay a fine .
Customers were complaining about the lack of open registers.,But there was nothing he could do about it.,[NEUTRAL] was having a terrible day at work .,"During break time , [NEUTRAL] [NEUTRAL] at his boss .",He was immediately fired.
She still bought them.,She hasn't bought anymore.,They died two days later .,Goldfish always seem to die quickly.,That 's what I told [NEUTRAL] .
[NEUTRAL] looked at her own kids and turned off the TV .,"On the show, a mom was talking about how quickly kids grow up.","She shooed away her kids , who wanted [NEUTRAL] to play with them .","After work , [NEUTRAL] plopped on a chair to watch her shows .",Marie turned the channel to one of her favorite programs.
[NEUTRAL] was happy to hear this .,He pointed out that the counters looked to be in bad shape.,[NEUTRAL] was trying to buy a house and was talking to a seller .,The seller said the owners actually had bought a new counter.,They just hadn't had time to put it in.
I was ready to start this new life of farming with my mom.,"She said, ""We are farmers now and this is where we live"".",I gave her a big hug and ran into the field.,"Two years ago , my mom brought me to a field .",I grabbed the dirt with my hands and threw it up in the air.
We spent all night celebrating the victory .,We invited over neighbors and family.,Our favorite team won the game.,My mom made food for everybody and it tasted good.,"In 2006 , my family watched the Superbowl in our living room ."
There was no one for me to hang out with.,I ended up making friends and being less nervous.,Luckily a group of people invited me to their lunch table.,I didn't know anyone at all.,I was nervous for the first day of middle school .
She looked at me and said she could do whatever she wanted.,"Sadly, I had to tell her not to come if she could not listen.",I looked over at the teenager and asked her to quiet down.,The preacher had started to preach and she was just laughing out loud!,I was shocked.
The girls all chipped in and bought [NEUTRAL] a watch so she fit in .,Amy had gotten a new watch for her birthday .,Her friends all loved the watch.,They all asked their parents to buy one.,Everyone except [NEUTRAL] had the watch a week later .
She could no longer eat it anymore.,It was far too sweet.,So she took a bite.,Allie wanted to get some candy.,But she was not sure if it would be too sweet.
I had a lot of extra tip money and wanted to spend it.,I bought snacks and cigarettes.,I drove to the gas station to buy Something.,I went home and hung out with my friends.,I finished my a day at my first job .
Chad 's kids wanted to go to the zoo .,Chad and his wife were too busy .,They thought that was a great idea.,The kids had a great time at the zoo!,They asked their grandparents to take them.
He flew through the air towards the ground.,At the top of his swing [NEUTRAL] jumped off .,[NEUTRAL] landed softly in a pile of sand .,He tried to see how high he could swing himself.,[NEUTRAL] walked to the park to use the swing .
On the next turn he took it wide to get around the other car.,He pulled into third place and looked for an opening .,The second place car tried to block Al but failed .,Al passed him and became the new second place driver .,[NEUTRAL] was in the final laps of a car race .
The problem was that he had one of the slowest card in town .,[NEUTRAL] always wanted a fast car like his friends .,He finally raised enough money for a new car.,He decided to get a part time job for some extra money.,He now races his fast car with those of his friends.
She gave him one chance and he excitedly began baking .,[NEUTRAL] wanted to bake cookies at home .,His wife wouldn't let him because of the mess.,When he was done it was still messy but she knew he had tried.,He promised to clean up if she would change her mind.
Mable shed a tear from the boy's kindness.,The boy agreed and mowed her lawn for her.,Mable knew she couldn't mow her lawn at her advanced age.,She went next door and asked the neighbor boy if he would do it.,When [NEUTRAL] went to give the boy money he would n't take it .
It was a great tea party!,I went into [NEUTRAL] 's room .,She was serving them tea and cookies.,All her animals were seated at the table.,She had her tea set out on her table.
"When she got home, she started planning her next trip.","When it was time to leave , [NEUTRAL] was sad .",She set up a chair and spread out a blanket.,She had been dreaming of this vacation for months .,[NEUTRAL] was completely relaxed lying on the beach .
I was really excited and ready to go.,I ate breakfast and went outside to wait for the bus.,The bus came and I got on.,It was my first day of school .,I rode the bus to the school and went to class.
I found a cup I loved.,"Yesterday , it fell and broke , ruining it for good .","It was for adults, but had a princess on it.",It was from the Disney store .,I used it every day .
"As she did he smiled at her, and her heart melted.",Just as he approached she grabbed and opened the door.,[NEUTRAL] 's crush [NEUTRAL] needed Someone to open the door for him .,She wanted to be at the door today to open it for him .,It was hard to hold his crutch and open the door at the same time.
"We looked at our faces, making funny smiles and toothy grins.",He set the mirror down just fine.,My friend [NEUTRAL] was carrying a long mirror to his room .,I told him a broken mirror is 7 years bad luck .,"The mirror fell forward and broke, giving us both bad luck."
[NEUTRAL] was on vacation in the south .,[NEUTRAL] decided to wear a jacket outside .,He was very hot from the warm weather.,He then needed extra water because of how hot he was.,He was used to the north and snow.
Then she had famous New York pizza .,"There, she saw the sights.",She took a train ride into Manhattan .,Rose wanted to see New York City .,Rose loved visiting New York !
I called my friends and bought a new ticket to meet up with them.,Today I took a train to meet my friends .,I fell asleep so hard that I missed my stop.,I tried to take some sleeping pills to help me sleep.,The train was very loud and made it hard to sleep.
A man was learning to play the trumpet.,He was only able to figure out how to play two notes .,He played the song for his friends and they clapped for him.,He used the two notes to create a song .,The song was not great but he was proud of it.
[NEUTRAL] 's mom knew [NEUTRAL] was too young for her own pet .,[NEUTRAL] always wanted to have a pet cat .,It looks like [NEUTRAL] got a pet [NEUTRAL] after all .,[NEUTRAL] named her fish [NEUTRAL] .,"Instead of a cat , [NEUTRAL] 's mom bought her a goldfish ."
When he finishes it he goes home.,Stanley decides he wants to have Something to drink .,Stanley is glad that he had Something to drink .,It is cool and refreshing.,He orders a lemonade to drink.
She was trying to go to her friends house.,[NEUTRAL] [NEUTRAL] her bicycle around town .,The bike stopped and Jenny flew out of it.,A twig ended up getting caught in her wheel.,She scratched her knee.
He stopped the bleeding with the tissue.,He cut his skin.,He forgot that he had the tissue on his face.,He started to bleed.,The man shaves his face.
It  was very delicious.,[NEUTRAL] never bought a pie from that store again .,The next day [NEUTRAL] got sick .,[NEUTRAL] was very hungry one day .,She went to the store and bought a pie.
[NEUTRAL] decided to stay in Berlin .,"Many romantic dates later, they agreed they were in love.","At first , she found Berlin to be very backward .","Then [NEUTRAL] met [NEUTRAL] , a mysterious European woman .",[NEUTRAL] booked a summer holiday to Berlin .
[NEUTRAL] played on the swings and had a fun time .,His father didn't see that a screw was missing from the swing.,His father complained to the city.,[NEUTRAL] 's father took him to the playground .,The swing broke while [NEUTRAL] was swinging .
[NEUTRAL] knew the boy was just wanting to talk to her .,[NEUTRAL] 's eyes were unusually large .,A teenage boy stopped [NEUTRAL] on the path and asked her a question .,[NEUTRAL] answered the boy and went on her way with a smile .,"As she walked through the park, she attracted much attention."
"One day , I told him my favorite president was [NEUTRAL] [NEUTRAL] .",He was an artist.,Once I met a cute boy.,We decided to date and get to know one another.,He said he didn't care for history and we never spoke again.
We brought our cat home to our new house.,Now he comes to our house to yell and his at us.,My cat hates other cats.,A neighbor cat started showing up on our porch to see her.,I hissed at the neighbor cat to go away.
"While Will was in California , he went to Disneyland .",Will's wife hung up the phone on him.,Will went on a business trip to California .,"Because he went for business, his wife had to stay at home.",He called his wife to tell her how much fun he had.
Delores couldn't wait to buy him more gifts!,It would be a few years before he could ride it .,She had one grandson who was a baby .,Delores was a new grandma.,"Delores wanted to spoil him, so he bought him a pony."
The boss yelled at [NEUTRAL] for messing up .,"Later that day , a car hit the bad cement and crashed .",The crew could n't fix it and left it for a day .,[NEUTRAL] was new to construction work .,On his first day he did n't know how to pour the cement .
He laughed when he saw all the animals doing silly things.,His dad helped him take pictures of animals on the phone.,"His dad bought him an ice cream, and they went home.",He liked the pictures and was very pleased.,Tyler went to the zoo with his dad.
Billie 's dad made her get a haircut every month .,One day she told her dad about the bullying .,Billie 's father felt so bad he never made her cut her hair again .,Billie was a girl with a boy 's name .,She had always been made fun of because she had short hair.
She went to Germany for a vacation .,She met a handsome man.,June got out of school in May.,They fell in love.,He moved back to the US with her .
On one side of the house the gutters were 20 feet in the air .,That was the best $ 20 that Mr [NEUTRAL] ever spent .,The next weekend [NEUTRAL] [NEUTRAL] found a 40 foot ladder at a garage sale .,The [NEUTRAL] moved into a new house .,Mr [NEUTRAL] shopped for a new ladder but they cost over $ 300 .
Usually for movie night with the family on Fridays .,Betty like to make popcorn.,She was bringing it back to the tv room to eat.,One day she made a bunch for the family .,But she tripped and spilled the popcorn everywhere.
"Just before it was time to go, her mom gave her a gift.",She was dressing up as a princess.,It was a really nice tiara for her costume.,Lily thanked her mom and then put the tiara on.,Lily was getting ready for Halloween .
She took the new bird home and he fit right in with her flock.,Peggy loves parakeets and she already has three little birds .,One day Peggy decided she wanted a new parakeet .,Peggy went to the pet store to look at the little birds .,One small bird was singing so sweetly to Peggy she decided to buy him .
His cat came inside and jumped into his lap.,He put the cat in the bathroom.,Lenny began scratching the cat when he noticed the bugs in it 's fur .,Lenny was laying on his couch watching TV .,"Then, he quickly went out and bought some bug cream."
Now she takes better care of it but is still excited.,She gets excited over it.,She had to buy a new one.,To the point where last week she broke her paintbrush .,[NEUTRAL] really loves her art .
She figured that it would all work out.,She decided to coach her daughter's softball team.,"After the first practice , [NEUTRAL] began to wonder what she had done !",[NEUTRAL] decide to volunteer more this year .,She didn't know anything about softball.
"Then he quit, saying he was tired.",We agreed to play tomorrow .,He killed me the first two games .,I won the next two .,Tonight I played 4 games of speed chess with my friend [NEUTRAL] .
The girl put on a dress.,It made her feel pretty.,Her friend asked her mom for a dress.,Her friend was jealous.,She showed off the dress to her friend.
[NEUTRAL] wanted to earn a pizza party at school .,"In order to do so, he needed to get good grades.",His grades so far had been not so great.,"That month , he worked as hard as he could .","Luckily, he got his grade up high enough and earned the pizza."
She felt terrible all day and went to take a nap .,She took some medicine and had some tea.,Erin woke up one morning feeling sick .,"When she woke up, she felt much better!","Her head hurt, and she was coughing a lot."
"After that, he warmed up to classical music.",It was a tune he had remembered loving as a child.,[NEUTRAL] had heard good things about [NEUTRAL] 's 39th symphony .,But he was surprised that he was already familiar with the first part .,He wasn't used to  classical music and was not expecting to like it.
[NEUTRAL] was a mom of two .,They went to Disneyland and rode all the rides .,They all were so excited.,[NEUTRAL] took them to Disneyland .,She loved her children.
We ate the pizza and praised him.,My son wanted to be a cook when he was 8 .,My wife bought a pizza stone and some dough one day .,My son went to college and did not become a cook.,My son kneaded the dough and made a pizza.
The loaf ended up coming out burnt.,Her mom yelled at her and told her not to bake bread ever again.,She ended up baking her first loaf of bread a week later .,She watched a TV show on how to bake bread and tried it on her own.,[NEUTRAL] always wanted to be a good baker .
I made the meal and enjoyed it.,I found a package of broccoli & beef to cook .,I was watching TV one night .,I went to the kitchen to cook Something.,I was very hungry and decided I needed to eat.
His friends said it was the best pasta ever.,He ran out of sauce.,He had to make it tasty.,Jake was making pasta.,He mixed the pasta with 5 types of spices .
"Last spring , a great windstorm blew straight across the Lake .",I live near one of the Great Lakes .,The crash of the tree was so loud that it woke us all up!,The windstorm blew a tree down on top of our house.,"Because of all its open water , the Lake causes strange weather ."
Bo loves to go for rides in the car.,He would not come back to the house.,"We opened the car door, and Bo ran back fast and jumped in the car.",Bo will do anything to get to go for a ride.,Bo escaped from the house one day .
He mistakenly put the whole beet in without cutting it.,"I like to cook, and have a few favorite dishes.","I often make a pot of rice, and toss a diced beet in to cook with it.","My friend saw this once, and wanted to try the same thing.","I told him his mistake, and he was more successful the next time."
She was broke and had no money.,Just to try she begged the driver to let her ride.,"Luckily , he offered to pay for her fair one time .",Heidi needed to take the bus to her parents house .,She was so grateful and made sure to pay him back.
But she was wrong!,Ava wasn't the best student in class.,She knew that she would n't get any awards on Class Day .,Then he presented her with an award for Perfect Attendance!,Her principal called her up to the stage.
"The beef was delicious, but it made him very sick.","While there, he went to the country and ate some beef.","[NEUTRAL] was flown back to a hospital in the USA , and never returned .","Timothy lived in the USA , but his father was from Argentina .",One day he moved back to his home country .
There was a big fire.,He saved them and put out the fire.,The fireman came by to stop it.,There were still 2 kids in there .,The fireman went in to save them.
At 12:30 am he called me to come pick him up .,I dropped him off at 10:30 that night .,He was there for less than 3 hours but it was over 2 days .,He was given until midnight to turn himself in .,My friend had to go to jail for two days .
[NEUTRAL] owned a dog .,[NEUTRAL] could not run .,He needed to exercise the dog daily .,[NEUTRAL] let the dog run free of the leash .,The dog 's body was made to run daily .
[NEUTRAL] knew she should tell her friend she was busy .,[NEUTRAL] returned to her bedroom ready to work on her report .,Instead she talked on the phone for 2 hours .,Her mother called her to the phone when it rang.,She picked up the book and began to read.
"She turned in her coloring page, proud of her work.","[NEUTRAL] loved to draw , so she was excited to get to color at school .",[NEUTRAL] took her crayons home and broke each one in pieces .,"When the page was returned, it had a frowning face on top.",She couldn't wait to use her crayons when she got her coloring sheet.
His boss yelled at him.,[NEUTRAL] had to change clothes .,On Monday morning he spilled coffee on his shirt .,[NEUTRAL] hated Mondays .,He ended up being late for work.
"He waved [NEUTRAL] off , saying that it was on the house .",They had no clue how much it cost.,[NEUTRAL] was taking a taxi to the store .,When they arrived the driver realized he hadn't set the meter.,[NEUTRAL] hesitated but then thanked him .
I rushed to wash it out of her mouth.,We went to the Beach last week .,I could not believe it when she started to eat the sand.,The baby love to play in the sand.,I believe she had already swallowed some.
He cried the whole time.,He was so scared to go.,He hates getting shots.,He had to get a few shots.,I brought my son to the doctors.
So I got some pancake mix to make pancakes.,And this morning I made three really fantastic pancakes .,I got tired of having eggs and potatoes for breakfast every day .,"I combines the mix, an egg, some milk, and a bit of oil.","I mixed all those up really well, but not too much."
Once he crossed the border he got out and smelled the air.,The man drove all the way to canada .,Once he reached New England he did not stop .,He got in his car and went to the highway.,A man in Alabama wanted to see what life was like up north .
I absentmindedly reached up to wipe it with my hand.,"After a few moments, the bleeding finally stopped.",I went to the bathroom and got toilet tissue.,When I pulled my hand away I saw blood.,This morning I was on the couch when I felt my nose start to drip .
Molly kept the dog treats in a jar on the counter.,The dogs had eaten every treat.,One day when she came home from work the jar was broken on the ground .,Molly kept the treats on top of the refrigerator from then on.,Each morning both of her dogs got one treat each .
"Once she was in the store, she felt very silly!",She had to run to the store.,The girl was ready for bed.,She had put on her robe.,She decided she could stay in her robe.
[NEUTRAL] loved shoes .,She went shoe shopping every week .,She saw that this mall had a really great selection.,She found her new favorite pair of shoes at this mall.,She decided to go to a new mall for shoes.
The clues were very tricky.,We had one hour to escape .,My family recently got locked in an escape room.,We missed escaping by thirty seconds !,They give you clues how to get out.
When he went back to school all the kids wanted to sign it.,[NEUTRAL] broke his leg playing soccer .,He was in a full cast.,It was full from top to bottom by the time he got home.,All day people stopped him to add Something to his cast .
His watch was not running.,He shook the watch.,The watch started running again.,He took his watch off.,The man put on his watch.
Tina was kind of embarrassed when she tried it on .,To her surprise though it looked rather ugly.,She bought a shirt she thought looked cute.,Tina went shopping online.,She had to send it back.
I wanted to be safe so I drove extra slow.,When I tried to step on the brakes they did not work.,I was hydroplaning because I stepped on the brakes to hard and fast.,It was a very rainy day .,I crashed into another car and hurt somebody.
She decided to cut her hair short.,Yolanda wanted to get a haircut .,Yolanda loves how much lighter her head feels .,Her hairdresser spent 2 hours cutting her hair .,She set up an appointment with her favorite hairdresser.
[NEUTRAL] is packing the last of the items he needs for his trip to the bay .,He takes special care in loading his new speargun.,"At last, he's on his way to his destination.","As soon as it's in, he hooks up the boat to the back of his truck.",He takes one last look at the back and starts the vehicle .
[NEUTRAL] started his work early the next day .,He bet that he could close more sales that day than his co - worker .,[NEUTRAL] made a bet with a co - worker .,"By the end of the day , [NEUTRAL] had won the bet !",[NEUTRAL] went the extra mile on every call .
When she got out she looked at the price.,Rena decided she did n't need a new car after all .,She went out car shopping and looked at all kinds of models.,She really liked one of the sports cars she test drove.,Rena thought she needed to buy a new car.
Turns out Soda is nasty for your body.,I am now 300 lbs .,I used to drink it all the time.,I love soda.,I would drink 10 cans a day .
After pumping the gas I drove over to the car wash.,The car wash did a wonderful job.,Now my car is sparkly clean again.,When I bought gas I bought a car wash too.,My car was really dirty.
I'm glad I called her!,"Then, she called me back.","She told me she had lost her phone, but my call helped her find it.",She did not answer.,I called my mom the phone today .
He already passed 2 people .,He was almost there.,[NEUTRAL] was near the finish line .,[NEUTRAL] was running as fast as he could .,He had 3 more to pass .
The bus was here.,She got dressed fast.,The girl woke up late.,By the time she got to the door the bus left.,She ran down the steps.
[NEUTRAL] 's family had gone out of town for a funeral .,They stood on the porch waving goodbye as he drove back home.,[NEUTRAL] 's mom needed to stay and plan to move her mom to MN .,The funeral was now over.,Her dad couldn't miss anymore work.
As they were walking they found a dog.,The dog was super friendly but had no collar.,[NEUTRAL] and [NEUTRAL] were walking to the park .,They were on their way to play basketball with some other friends.,They decided to take the dog home and [NEUTRAL] now has a new pet .
"When he came back, he accidentally spilled his drink on the book.",While reading he got up to get a drink and snack.,[NEUTRAL] ruined the book and had to pay the library for it .,He brought it home and began to read.,Pete checked a book out from the library.
They visited for fourth of July and it was very hot and crowded .,This summer the [NEUTRAL] family went to Disney World .,"When it was time to leave, they didn't want to go!",They still got to go on every ride they wanted.,They saw fireworks and many shows as well.
They climbed over rocks and fallen branches.,The hole was full of bees.,[NEUTRAL] fell in a hole .,The [NEUTRAL] children went running in the woods .,[NEUTRAL] was stung hundreds of times .
A lady running across the park stopped.,My friend tried to ride a bicycle across a small hill.,He immediately told her no since he felt embarrassed.,She asked if she needed to call for help.,"As soon as his bike tire ran into a rock, he fell off."
"Tia went out and helped the girl to her feet, kindly.","Afterwards, she felt good about her behavior.",Tia saw the new girl get pushed around at recess.,She thought about pretending she hadn't seen.,But then she decided to do the right thing.
He tried and tried to start the car.,"With his last try, he was able to get the car started again.","When [NEUTRAL] got back into his car , he realized the battery died .",He stopped at a restaurant in the middle of nowhere.,[NEUTRAL] took a long road trip .
The kids could n't sleep on Christmas Eve .,All they could think about were the gifts.,They even left cookies out for Santa .,"At 12 am , They got up and saw the gifts .",They were all coal.
I cannot stand rain at all.,Rain ruins any plans to go outside and play.,It makes my hair wet and my hands wet.,I don't want to touch anything at all.,As soon as I get home I always go to the bathroom to dry off.
He screamed and cried and held his breath.,"One day , [NEUTRAL] got in trouble at school and threw the biggest fit .",[NEUTRAL] was a horrible child who was always whining .,All the other boys and girls saw him act like that and didn't like him,"When he didn't get his way, he would scream and throw a fit."
[NEUTRAL] was invited to a birthday party .,It was the one thing everyone else chose to take as well .,He decided on buying hot dogs.,They were grilling out by the pool.,He wasn't sure what to take.
She added extra spices because she loved hot food.,She loved chili but had never made it herself .,Miranda was hungry from some chili .,She had to throw the chili out because it was way too spicy.,She followed a recipe.
He started to tell the joke and realized he forgot how it ended.,[NEUTRAL] gathered his friends to tell them a funny joke he heard .,[NEUTRAL] tried to blame the friends for having no sense of humor .,[NEUTRAL] tried to make up his own punchline to save his joke .,All of his friends were confused and did not laugh.
Her mom began to cry.,The girl's dog had been hit by a car and was dead.,"As she to the bottom of the stairs, her mom pulled her in close.",She got up and started to head downstairs to see what her mom wanted.,A girl heard her mom yell her name from downstairs.
I am an adult now.,I still think about my old friends.,I was shy and afraid of people.,I solved my problem by having imaginary friends.,I was lonely as a child.
She felt around in the dark trying to find the light switch.,She quickly went to wake up her husband to get the snake.,[NEUTRAL] is very fearful of snakes .,She woke up one night and went to use the restroom .,She saw a huge king snake as soon as she turned on the light.
[NEUTRAL] spent the entire night alone .,[NEUTRAL] 's mom was going out of town .,"That night , her sister left [NEUTRAL] to go out with friends .",Her older sister was supposed to babysit her.,"When her mom found out , she was furious at [NEUTRAL] 's sister ."
[NEUTRAL] asked a group of his friends to go to the movies .,"After the movie was over, they all went home.",Everyone arrived at the movie theater and chose a movie.,[NEUTRAL] and his friends sat in the front row to watch the movie .,"After buying tickets, they all bought some popcorn and pop."
They had an amazing time!,Finally they left for their trip.,The [NEUTRAL] 's decided to go on a road trip .,It took them awhile to get ready.,They had to save money and make plans.
His friends all wanted one.,He took it to his friends.,The boy got a piece of pizza.,The friends went to get pizza.,He ate it in front of his friends.
Karen put up signs about her lost dog in her neighborhood.,"Her dog ran off , and [NEUTRAL] lost her .",[NEUTRAL] took her dog for a walk .,"The dog collar was too big, and her little dog got loose.","A neighbor found her dog , called Karen , and returned her dog ."
She walked swiftly to the bathroom when he was done.,She knew the janitor was in the bathroom and had to wait.,Amy was at her desk but she needed to use the bathroom .,Amy was just happy the coffee spilled on her was cold .,In a hurry she turned the corner and ran into her boss.
The large truck was stuck in the sand by the lake.,[NEUTRAL] ran to a nearby farm and asked for help .,The farmer got his tractor and drove it to the truck.,The farmer pulled the truck out of the water with the tractor.,The tide was coming in and the water was over the truck's tires.
We all loved our coach.,He was my football coach.,We then won every game that year !,I had a really good coach.,He listened to what the players wanted.
But her mom thought it was too far for her to ride the bus alone.,She begged but still wasn't allowed to go.,[NEUTRAL] 's friend [NEUTRAL] lived across town .,[NEUTRAL] wanted to go to the mall with her .,[NEUTRAL] sulked in her room until she fell asleep .
The bus broke down.,It took a long time.,He was very late for work.,[NEUTRAL] had to take the bus to work .,He got written up at work.
Take the keys off the hook and start up my car.,I roll out of bed and stretched my back.,Drive to work singing rock songs on the radio.,Put my work cloths on and grab some coffee.,Alarm goes off at six in the morning .
They started talking every day .,Angie met a guy named [NEUTRAL] .,They learned they had so much in common.,They went on their first date .,Angie was crazy about [NEUTRAL] .
It was [NEUTRAL] 's turn to let the dog outside .,Sara opened the front door and let the dog run out.,She noticed the gate was open and her dog was missing.,Sara rushed to tell her mom that the dog was missing.,A couple hours later Sara remembered the dog and went to let him in .
I went out to my car to drive to town.,I drove the car anyway.,I noticed one of the tires was very low on air .,I got the tire fixed at a shop when I made it to town.,I put air in the tire at a nearby gas station.
She had built up a lot of laundry at her old place.,It took hours but she was finally able to clean all of her stuff .,[NEUTRAL] had just moved into a new house .,She had her own washer and dryer for the first time .,"As soon as she was moved in, she started washing the clothes."
We raced as fast as we could around the rock.,Yesterday I went to the state park to go kayaking .,My friends and I decided to participate in a race.,Finally I ended up winning.,I was thrilled.
When [NEUTRAL] left she called the girl .,Kelly went on a trip to California last week .,However to her surprise she ran into an old friend.,The girls chatted just like old times.,While she was there she attended to business.
I had just enough time to get to the bus stop.,I was two blocks away from the bus stop when I saw the bus leave .,I had to wait thirty minutes for the next bus .,I rushed to get ready in the morning.,It had arrived three minutes early .
"While walking through the forest, he came upon a brown bear.","The bear charged [NEUTRAL] , and he ran for his life .","One day , he had to make a journey through a forest .","[NEUTRAL] was a pioneer in America , long ago .",He then noticed that the bear was with some tiny cubs.
I was successful in hiding this from [NEUTRAL] !,As the movie progressed I realized I was going to be moved by it.,I had asked [NEUTRAL] on a date .,"As the family in the film escaped the Nazi 's , I began to cry a little .",She came over to my apartment with a copy of Sound of Music.
She has a ton of hair .,I am in love.,I have a ton of pictures to show you .,My daughter was born last week .,She is so cute.
He decided to join her in that activity.,[NEUTRAL] wanted to spend more time with his mother .,His mother loved driving around and looking at homes.,They went for a nice drive.,[NEUTRAL] was happy to be spending more time with his mother .
[NEUTRAL] was at the pet shop .,The collar had ripped right off of the dog!,She bought it and slipped it on the dog.,She found a sparkly collar for her dog.,They went on a walk and [NEUTRAL] heard a loud snap .
[NEUTRAL] was picked on in class every day .,When he got to high school he got bigger.,He started picking on other kids.,He never tried to fight back.,The smallest ones didn't fight back.
[NEUTRAL] brought home a new kitten .,[NEUTRAL] gave the kitten some milk .,It was very angry.,It turns out the kitten was thirsty.,It scratched everyone.
They told her she would have to wait a month for the pink one .,[NEUTRAL] was happy the new phones just came out for Apple .,Unfortunately the pink ones were all sold out.,She really wanted a pink one.,She decided to get the gold instead.
Her neighbor had made cucumber salad and had brought some to share .,On Saturday [NEUTRAL] took some cucumbers to her nextdoor neighbor .,[NEUTRAL] 's garden was doing well .,She had plenty of vegetables for her family and some to share.,"On Sunday , when she got home from church , there was a knock at the door ."
[NEUTRAL] was really hoping to get the Pie Face game for Christmas .,"Sadly , [NEUTRAL] did not get the game that year .","Every store , online and off , was sold out of Pie Face .","Every time the commercial came on, he told him mom about it.",His mom looked all over for the game.
"She turned around quickly and caught it , throwing it back at [NEUTRAL] .",[NEUTRAL] saw that she was n't looking so he grabbed an eraser and threw it .,After [NEUTRAL] was hit in the eye he decided he would never prank again .,He would throw erasers at her every time she turned around.,[NEUTRAL] loved to prank his teacher [NEUTRAL] [NEUTRAL] .
His mom then drives him to school.,He then went to his mom's room.,He just missed his bus.,He makes it to first class on time .,Fred woke up late.
She couldn't stomach it.,They were very sour.,Allie had to spit it out.,She never wanted to buy it again.,Allie went to buy candy.
He wrote it down.,He wrote a pretty good song.,The man played his guitar.,He built off of it.,He found Something he liked.
She asked her mom if she would watch the kids for a weekend .,[NEUTRAL] spent a nice three day weekend at a hotel by herself .,Her mom agreed and [NEUTRAL] took a Friday off of work .,She works two jobs and has two kids .,[NEUTRAL] really needs a vacation .
Megan went to the mall and saw a beautiful dress in a shopping window.,"She wanted the dress badly, but could not afford it.",Megan finally bought the dress and learned the value of hard work.,"After lots of hard work, she eventually saved up enough money.",Megan decided to get a job and save up for the dress.
They decided that [NEUTRAL] was charming and polite and after all .,"Ivy wanted to date [NEUTRAL] , but her parents said no .",They thought he was a bad guy.,Then Ivy set up a meeting between her parents and [NEUTRAL] .,They told Ivy that she was allowed to date him after all!
She realized that she couldn't afford to buy a gift.,It was getting close to Christmas and she had no money .,[NEUTRAL] had signed up for Secret Santa .,She let one of the admins know .,"Luckily, they were able to help her out."
He needed a night light .,One day he was so sleepy that he forgot to turn it on .,[NEUTRAL] could n't sleep in the dark .,He realized he was now brave enough to sleep without it.,Without it he would have nightmares.
Her father dressed up as a horse for [NEUTRAL] birthday .,[NEUTRAL] was allergic to horses .,She rode along on her father's back happily during the party.,She wanted a pony for her birthday.,[NEUTRAL] turned four yesterday .
[NEUTRAL] decided that showing off was not worth it anymore .,He landed on his leg in a weird spot and broke it.,[NEUTRAL] was at the park playing with his friends .,"As he was going down the slide, he slipped and fell.",He decided to show off and run down one of the slides.
He wondered where he could go.,"The thought exhausted him, so he went home.",So he decided to go Somewhere else.,"Today , he felt bored by same old thing .","He walked around the park , every day ."
"But they lived over an hour from any zoo , and gas was very expensive .",[NEUTRAL] loved animals very much .,He wanted his mom to take him to the zoo.,She took [NEUTRAL] to the pet store and let him see dozens of animals !,Then his mom had a great idea.
I need to leave earlier.,There was an accident on the highway.,The traffic was backed up tonight .,I was late to practice.,It caused a traffic jam in the city.
